stratifier,level,system,correct,n,proportion,CI_low,CI_high
pathway_template,Intervention–Syndrome–Organ,OUTCOME_AWARE_REFINED,4,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
pathway_template,Intervention–Toxin–Mechanism–Syndrome,OUTCOME_AWARE_REFINED,0,13,0.0,0.0,0.22809537235419838
pathway_template,Species–Toxin–Mechanism–Outcome,OUTCOME_AWARE_REFINED,0,5,0.0,0.0,0.43448246478317476
pathway_template,Species–Toxin–Mechanism–Syndrome–Organ,OUTCOME_AWARE_REFINED,7,7,1.0,0.6456695649333126,1.0
pathway_template,Species–Toxin–Outcome,OUTCOME_AWARE_REFINED,3,4,0.75,0.30064184258240184,0.9544127391902995
pathway_template,Species–Toxin–Syndrome–Organ,OUTCOME_AWARE_REFINED,7,7,1.0,0.6456695649333126,1.0
pathway_template,Toxin–Mechanism–Outcome,OUTCOME_AWARE_REFINED,0,4,0.0,0.0,0.4898908364545973
pathway_template,Toxin–Mechanism–Syndrome–Organ,OUTCOME_AWARE_REFINED,5,5,1.0,0.5655175352168251,1.0
pathway_template,Intervention–Syndrome–Organ,PRE_REFINEMENT,4,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
pathway_template,Intervention–Toxin–Mechanism–Syndrome,PRE_REFINEMENT,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
pathway_template,Species–Toxin–Mechanism–Syndrome,PRE_REFINEMENT,7,12,0.5833333333333334,0.31951131254954973,0.8067396863412435
pathway_template,Species–Toxin–Syndrome–Organ,PRE_REFINEMENT,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
pathway_template,Toxin–Mechanism–Syndrome–Organ,PRE_REFINEMENT,5,25,0.2,0.08860584686802572,0.3913095036954033
n_edges,2,OUTCOME_AWARE_REFINED,7,15,0.4666666666666667,0.24809535365737387,0.698830199745016
n_edges,3,OUTCOME_AWARE_REFINED,12,30,0.4,0.24590628116801852,0.5767963974667752
n_edges,4,OUTCOME_AWARE_REFINED,7,7,1.0,0.6456695649333126,1.0
n_edges,2,PRE_REFINEMENT,4,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
n_edges,3,PRE_REFINEMENT,19,88,0.2159090909090909,0.1428082469491878,0.3127753136558646
contains_intervention,False,OUTCOME_AWARE_REFINED,22,32,0.6875,0.5143332169904459,0.8204745836639026
contains_intervention,True,OUTCOME_AWARE_REFINED,4,20,0.2,0.08065766257979806,0.41601743225189364
contains_intervention,False,PRE_REFINEMENT,19,64,0.296875,0.19905151325539794,0.41770201103542925
contains_intervention,True,PRE_REFINEMENT,4,31,0.12903225806451613,0.051342843746291486,0.28852406256306423
terminal_class,Organ,OUTCOME_AWARE_REFINED,23,26,0.8846153846153846,0.7102409678828635,0.9599675537638938
terminal_class,Outcome,OUTCOME_AWARE_REFINED,3,13,0.23076923076923078,0.08179528718498569,0.5025637594672749
terminal_class,Syndrome,OUTCOME_AWARE_REFINED,0,13,0.0,0.0,0.22809537235419838
terminal_class,Organ,PRE_REFINEMENT,16,59,0.2711864406779661,0.17436970937918053,0.3959776296754516
terminal_class,Syndrome,PRE_REFINEMENT,7,36,0.19444444444444445,0.09753095418928728,0.3502804299517739
