system,endpoint,correct,n,proportion,CI_low,CI_high
PRE_REFINEMENT,entities_correct,43,95,0.45263157894736844,0.3563277605271961,0.552617330860754
PRE_REFINEMENT,relations_correct,29,95,0.30526315789473685,0.22172919278467978,0.40393396069911497
PRE_REFINEMENT,direction_correct,52,95,0.5473684210526316,0.44738266913924607,0.6436722394728039
PRE_REFINEMENT,sequence_coherent,52,95,0.5473684210526316,0.44738266913924607,0.6436722394728039
PRE_REFINEMENT,terminal_class_correct,39,95,0.4105263157894737,0.31696158583207545,0.5110458090118303
PRE_REFINEMENT,all_edges_evidence_supported,23,95,0.24210526315789474,0.16708840091876592,0.3371682077489622
PRE_REFINEMENT,complete_pathway_correct,23,95,0.24210526315789474,0.16708840091876592,0.3371682077489622
OUTCOME_AWARE_REFINED,entities_correct,52,52,1.0,0.9312077638761376,1.0
OUTCOME_AWARE_REFINED,relations_correct,36,52,0.6923076923076923,0.5573041117529434,0.8008527205071096
OUTCOME_AWARE_REFINED,direction_correct,50,52,0.9615384615384616,0.8701881084254424,0.9893882889986847
OUTCOME_AWARE_REFINED,sequence_coherent,49,52,0.9423076923076923,0.8435748863103923,0.9801858278877295
OUTCOME_AWARE_REFINED,terminal_class_correct,52,52,1.0,0.9312077638761376,1.0
OUTCOME_AWARE_REFINED,all_edges_evidence_supported,26,52,0.5,0.36885862959780547,0.6311413704021945
OUTCOME_AWARE_REFINED,complete_pathway_correct,26,52,0.5,0.36885862959780547,0.6311413704021945
